title,author,imageLink
매매의 기술(박병창의 돈을 부르는),박병창,https://bookthumb-phinf.pstatic.net/cover/205/144/20514419.jpg?type=m106&udate=20210530
미드나잇 라이브러리,매트 헤이그,https://bookthumb-phinf.pstatic.net/cover/190/075/19007535.jpg?type=m106&udate=20210530
따님이 기가 세요,하말넘많,https://bookthumb-phinf.pstatic.net/cover/205/190/20519010.jpg?type=m106&udate=20210530
문명 1,베르나르 베르베르,https://bookthumb-phinf.pstatic.net/cover/205/412/20541262.jpg?type=m106&udate=20210530
문명 2,베르나르 베르베르,https://bookthumb-phinf.pstatic.net/cover/205/411/20541171.jpg?type=m106&udate=20210530
만화 인소의 법칙 3,아현,https://bookthumb-phinf.pstatic.net/cover/205/472/20547239.jpg?type=m106&udate=20210530
원펀맨,ONE (원작),https://bookthumb-phinf.pstatic.net/cover/205/192/20519203.jpg?type=m106&udate=20210530
인사반파자구계통,묵향동후,https://ssl.pstatic.net/static/book/image/icon_shield.png
소크라테스 익스프레스,에릭 와이너,https://bookthumb-phinf.pstatic.net/cover/196/181/19618143.jpg?type=m106&udate=20210530
2021 제12회 젊은작가상 수상작품집,전하영,https://bookthumb-phinf.pstatic.net/cover/188/701/18870190.jpg?type=m106&udate=20210530
