title,author,imageLink
매매의 기술(박병창의 돈을 부르는),박병창,https://bookthumb-phinf.pstatic.net/cover/205/144/20514419.jpg?type=m106&udate=20210530
미드나잇 라이브러리,매트 헤이그,https://bookthumb-phinf.pstatic.net/cover/190/075/19007535.jpg?type=m106&udate=20210530
달러구트 꿈 백화점,이미예,https://bookthumb-phinf.pstatic.net/cover/164/054/16405427.jpg?type=m106&udate=20210530
기분이 태도가 되지 않게,레몬심리,https://bookthumb-phinf.pstatic.net/cover/163/909/16390905.jpg?type=m106&udate=20210530
운다고 달라지는 일은 아무것도 없겠지만,박준,https://bookthumb-phinf.pstatic.net/cover/121/524/12152498.jpg?type=m106&udate=20210530
어떻게 말해줘야 할까,오은영,https://bookthumb-phinf.pstatic.net/cover/168/230/16823099.jpg?type=m106&udate=20210530
당신의 이름을 지어다가 며칠은 먹었다,박준,https://bookthumb-phinf.pstatic.net/cover/071/000/07100032.jpg?type=m106&udate=20210530
실전투자의 비밀(수정판),김형준,https://bookthumb-phinf.pstatic.net/cover/205/192/20519218.jpg?type=m106&udate=20210530
질서 너머,조던 피터슨,https://bookthumb-phinf.pstatic.net/cover/181/222/18122270.jpg?type=m106&udate=20210530
작은 별이지만 빛나고 있어,소윤,https://bookthumb-phinf.pstatic.net/cover/188/282/18828218.jpg?type=m106&udate=20210530
