,접수번호,법인구분,고유번호,법인명,구분,주식 종류,당기,전기,전전기
0,20160330003536,Y,00126380,삼성전자,주당액면가액(원),,"5,000","5,000","5,000"
1,20160330003536,Y,00126380,삼성전자,(연결)당기순이익(백만원),,"18,694,628","18,694,628","29,821,215"
2,20160330003536,Y,00126380,삼성전자,주당순이익(원),,"126,305","126,305","197,841"
3,20160330003536,Y,00126380,삼성전자,현금배당금총액(백만원),,"3,068,737","3,068,737","2,156,969"
4,20160330003536,Y,00126380,삼성전자,주식배당금총액(백만원),,-,-,-
5,20160330003536,Y,00126380,삼성전자,(연결)현금배당성향(%),,16.40,16.40,7.20
6,20160330003536,Y,00126380,삼성전자,현금배당수익률(%),보통주,1.60,1.60,1.00
7,20160330003536,Y,00126380,삼성전자,현금배당수익률(%),우선주,1.90,1.90,1.40
8,20160330003536,Y,00126380,삼성전자,주식배당수익률(%),보통주,-,-,-
9,20160330003536,Y,00126380,삼성전자,주식배당수익률(%),우선주,-,-,-
10,20160330003536,Y,00126380,삼성전자,주당 현금배당금(원),보통주,"21,000","21,000","14,300"
11,20160330003536,Y,00126380,삼성전자,주당 현금배당금(원),우선주,"21,050","21,050","14,350"
12,20160330003536,Y,00126380,삼성전자,주당 주식배당(주),보통주,-,-,-
13,20160330003536,Y,00126380,삼성전자,주당 주식배당(주),우선주,-,-,-
0,20170331004518,Y,00126380,삼성전자,주당액면가액(원),,"5,000","5,000","5,000"
1,20170331004518,Y,00126380,삼성전자,(연결)당기순이익(백만원),,"22,415,655","22,415,655","23,082,499"
2,20170331004518,Y,00126380,삼성전자,(개별)당기순이익(백만원),,"11,579,749","11,579,749","14,591,781"
3,20170331004518,Y,00126380,삼성전자,(연결)주당순이익(원),,"157,967","157,967","153,105"
4,20170331004518,Y,00126380,삼성전자,현금배당금총액(백만원),,"3,991,892","3,991,892","2,999,972"
5,20170331004518,Y,00126380,삼성전자,주식배당금총액(백만원),,-,-,-
6,20170331004518,Y,00126380,삼성전자,(연결)현금배당성향(%),,17.80,17.80,13.00
7,20170331004518,Y,00126380,삼성전자,현금배당수익률(%),보통주,1.60,1.60,1.50
8,20170331004518,Y,00126380,삼성전자,현금배당수익률(%),우선주,2.00,2.00,1.90
9,20170331004518,Y,00126380,삼성전자,주식배당수익률(%),보통주,-,-,-
10,20170331004518,Y,00126380,삼성전자,주식배당수익률(%),우선주,-,-,-
11,20170331004518,Y,00126380,삼성전자,주당 현금배당금(원),보통주,"28,500","28,500","20,000"
12,20170331004518,Y,00126380,삼성전자,주당 현금배당금(원),우선주,"28,550","28,550","20,050"
13,20170331004518,Y,00126380,삼성전자,주당 주식배당(주),보통주,-,-,-
