"시점","항목",가구원수 (명),가구주연령 (세),가구분포 (%),소득,경상소득,근로소득,사업소득,재산소득,이전소득,비경상소득,가계지출,소비지출,01.식료품 · 비주류음료,02.주류 · 담배,03.의류 · 신발,04.주거 · 수도 · 광열,05.가정용품 · 가사서비스,06.보건,07.교통,08.통신,09.오락 · 문화,10.교육,11.음식 · 숙박,12.기타상품 · 서비스,비소비지출,처분가능소득,흑자액,흑자율,평균소비성향
"2019 1/4","전체가구",2.42,52.20,100.00,4271911,4187631,2767115,774345,34095,612075,84280,3458752,2544919,330884,36489,134719,321450,118167,207099,285307,117159,195295,258482,335250,204617,913833,3358077,813159,24.2,75.8
"2019 1/4","근로자가구",2.61,46.71,57.28,5219758,5142679,4448305,191951,30432,471991,77079,4027578,2876669,346139,40141,160770,330405,135217,204393,331389,129726,229221,325286,410359,233624,1150909,4068849,1192180,29.3,70.7
"2019 1/4","근로자외가구",2.18,59.57,42.72,3000893,2906957,512720,1555308,39008,799921,93936,2695984,2100058,310426,31592,99787,309441,95303,210729,223514,100308,149803,168901,234534,165720,595926,2404967,304909,12.7,87.3
"2019 2/4","전체가구",2.41,52.15,100.00,4168865,4111302,2715584,833315,45210,517194,57563,3191378,2357094,308864,35550,144409,265155,118880,197888,265880,122189,178765,165121,343207,211186,834284,3334581,977487,29.3,70.7
"2019 2/4","근로자가구",2.56,47.60,59.72,4890840,4845590,4196454,228785,50009,370343,45249,3653718,2615437,322744,38418,169193,273763,124717,195624,311323,131054,200009,211361,406470,230761,1038281,3852559,1237122,32.1,67.9
"2019 2/4","근로자외가구",2.19,58.90,40.28,3098305,3022483,519716,1729726,38093,734948,75822,2505810,1974017,288281,31297,107658,252392,110227,201244,198497,109042,147264,96555,249399,182160,531794,2566512,592495,23.1,76.9
"2019 3/4","전체가구",2.42,52.03,100.00,4301979,4247403,2790651,852757,27562,576434,54576,3386671,2467777,348036,37370,111399,250660,109794,195754,307792,124483,185039,243397,354046,200007,918894,3383085,915308,27.1,72.9
"2019 3/4","근로자가구",2.56,47.17,58.87,5009750,4950467,4330233,194634,16253,409348,59284,3869950,2750911,352566,39618,128978,251967,123501,186202,376903,136818,211652,301379,419879,221448,1119039,3890712,1139800,29.3,70.7
"2019 3/4","근로자외가구",2.22,58.99,41.13,3288868,3241031,586877,1794801,43749,815604,47837,2694900,2062496,341550,34152,86236,248790,90174,209425,208867,106827,146945,160401,259812,169317,632404,2656464,593968,22.4,77.6
"2019 4/4","전체가구",2.42,52.08,100.00,4284972,4214941,2726397,975135,25145,488263,70031,3287733,2464541,342639,33809,163304,273103,116087,208402,323291,128299,163452,153169,349821,209164,823192,3461781,997240,28.8,71.2
"2019 4/4","근로자가구",2.55,47.30,59.41,4834230,4759726,4186904,223173,15664,333985,74504,3738516,2738476,343517,35844,186919,285924,129208,208198,380344,138456,192971,192019,414047,231028,1000039,3834191,1095714,28.6,71.4
"2019 4/4","근로자외가구",2.22,59.08,40.59,3481096,3417611,588846,2075684,39022,714060,63485,2627981,2063618,341354,30831,128743,254340,96883,208701,239789,113433,120249,96309,255823,177165,564363,2916733,853115,29.2,70.8
"2020 1/4","전체가구",2.40,52.43,100.00,4366070,4253196,2815578,779417,38012,620189,112874,3264129,2379576,358109,34436,97489,318010,103958,224818,278881,118363,151646,187560,299615,206690,884553,3481518,1101941,31.7,68.3
"2020 1/4","근로자가구",2.53,47.13,57.32,5276492,5168985,4472808,200896,30209,465071,107507,3765720,2647195,379405,37191,115958,324103,119463,228638,304604,129644,175595,241597,364413,226585,1118525,4157967,1510772,36.3,63.7
"2020 1/4","근로자외가구",2.22,59.55,42.68,3143146,3023063,589503,1556516,48495,828550,120083,2590367,2020097,329504,30735,72682,309827,83132,219688,244329,103209,119477,114975,212575,179965,570270,2572876,552779,21.5,78.5
