,일별,save_scaled_train
0,2018-01-01,[0.25806144]
1,2018-01-02,[0.69187649]
2,2018-01-03,[0.6838636]
3,2018-01-04,[0.67653445]
4,2018-01-05,[0.75208106]
5,2018-01-06,[0.70471758]
6,2018-01-07,[0.38678874]
7,2018-01-08,[0.60969731]
8,2018-01-09,[0.63783236]
9,2018-01-10,[0.64439581]
10,2018-01-11,[0.62187017]
11,2018-01-12,[0.68906255]
12,2018-01-13,[0.68537438]
13,2018-01-14,[0.34792026]
14,2018-01-15,[0.64208255]
15,2018-01-16,[0.65473034]
16,2018-01-17,[0.64909628]
17,2018-01-18,[0.66019198]
18,2018-01-19,[0.75202017]
19,2018-01-20,[0.69365293]
20,2018-01-21,[0.39455771]
21,2018-01-22,[0.58712842]
22,2018-01-23,[0.64068147]
23,2018-01-24,[0.637305]
24,2018-01-25,[0.66844538]
25,2018-01-26,[0.74455289]
26,2018-01-27,[0.68781283]
27,2018-01-28,[0.3503757]
28,2018-01-29,[0.70958169]
29,2018-01-30,[0.75359881]
30,2018-01-31,[0.90188745]
31,2018-02-01,[0.73418176]
32,2018-02-02,[0.80138591]
33,2018-02-03,[0.7274376]
34,2018-02-04,[0.42114876]
35,2018-02-05,[0.65432177]
36,2018-02-06,[0.72889376]
37,2018-02-07,[0.74227365]
38,2018-02-08,[0.76965336]
39,2018-02-09,[0.82294179]
40,2018-02-10,[0.77057041]
41,2018-02-11,[0.3976688]
42,2018-02-12,[0.78347235]
43,2018-02-13,[0.88512738]
44,2018-02-14,[0.95131431]
45,2018-02-15,[0.36623133]
46,2018-02-16,[0.]
47,2018-02-17,[0.23477898]
48,2018-02-18,[0.27242781]
49,2018-02-19,[0.6311256]
50,2018-02-20,[0.68917378]
51,2018-02-21,[0.71487385]
52,2018-02-22,[0.71478918]
53,2018-02-23,[0.79538318]
54,2018-02-24,[0.72724946]
55,2018-02-25,[0.37829537]
56,2018-02-26,[0.75606362]
57,2018-02-27,[0.84016167]
58,2018-02-28,[0.9028211]
59,2018-03-01,[0.55544888]
60,2018-03-02,[0.77736665]
61,2018-03-03,[0.72723916]
62,2018-03-04,[0.39300902]
63,2018-03-05,[0.66698426]
64,2018-03-06,[0.70206794]
65,2018-03-07,[0.66981837]
66,2018-03-08,[0.64844709]
67,2018-03-09,[0.75409394]
68,2018-03-10,[0.75596562]
69,2018-03-11,[0.39732704]
70,2018-03-12,[0.63709166]
71,2018-03-13,[0.68604313]
72,2018-03-14,[0.72019706]
73,2018-03-15,[0.6316717]
74,2018-03-16,[0.75604814]
75,2018-03-17,[0.75140341]
76,2018-03-18,[0.42466013]
77,2018-03-19,[0.59776948]
78,2018-03-20,[0.6565667]
79,2018-03-21,[0.63231876]
80,2018-03-22,[0.69211584]
81,2018-03-23,[0.77357255]
82,2018-03-24,[0.7490428]
83,2018-03-25,[0.39801088]
84,2018-03-26,[0.68163413]
85,2018-03-27,[0.74824057]
86,2018-03-28,[0.75623248]
87,2018-03-29,[0.7793163]
88,2018-03-30,[0.94507311]
89,2018-03-31,[0.78643018]
90,2018-04-01,[0.46323607]
91,2018-04-02,[0.7294891]
92,2018-04-03,[0.72169738]
93,2018-04-04,[0.72253278]
94,2018-04-05,[0.65339694]
95,2018-04-06,[0.77107551]
96,2018-04-07,[0.74166939]
97,2018-04-08,[0.36093934]
98,2018-04-09,[0.64714924]
99,2018-04-10,[0.68188585]
100,2018-04-11,[0.71464882]
101,2018-04-12,[0.71192938]
102,2018-04-13,[0.77387477]
103,2018-04-14,[0.68862303]
104,2018-04-15,[0.44186087]
105,2018-04-16,[0.66269841]
106,2018-04-17,[0.71476327]
107,2018-04-18,[0.70785055]
108,2018-04-19,[0.71685177]
109,2018-04-20,[0.80108663]
110,2018-04-21,[0.73929801]
111,2018-04-22,[0.34869456]
112,2018-04-23,[0.59787907]
113,2018-04-24,[0.77220588]
114,2018-04-25,[0.82192544]
115,2018-04-26,[0.84435017]
116,2018-04-27,[0.91705375]
117,2018-04-28,[0.76207281]
118,2018-04-29,[0.4614129]
119,2018-04-30,[0.97232091]
120,2018-05-01,[0.66882403]
121,2018-05-02,[0.68777081]
122,2018-05-03,[0.76058881]
123,2018-05-04,[0.86853022]
124,2018-05-05,[0.67910538]
125,2018-05-06,[0.46034905]
126,2018-05-07,[0.56871162]
127,2018-05-08,[0.71878192]
128,2018-05-09,[0.7261173]
129,2018-05-10,[0.72255014]
130,2018-05-11,[0.79026527]
131,2018-05-12,[0.66388397]
132,2018-05-13,[0.42740955]
133,2018-05-14,[0.70414071]
134,2018-05-15,[0.7465227]
135,2018-05-16,[0.64569685]
136,2018-05-17,[0.65629413]
137,2018-05-18,[0.82704511]
138,2018-05-19,[0.77634465]
139,2018-05-20,[0.45831763]
140,2018-05-21,[0.74328065]
141,2018-05-22,[0.44084061]
142,2018-05-23,[0.7485043]
143,2018-05-24,[0.75650916]
144,2018-05-25,[0.87855796]
145,2018-05-26,[0.77586307]
146,2018-05-27,[0.41761956]
147,2018-05-28,[0.78344379]
148,2018-05-29,[0.8129351]
149,2018-05-30,[0.87110735]
150,2018-05-31,[0.95852001]
151,2018-06-01,[0.83354391]
152,2018-06-02,[0.77556932]
153,2018-06-03,[0.47019958]
154,2018-06-04,[0.67605325]
155,2018-06-05,[0.76434536]
156,2018-06-06,[0.52484822]
157,2018-06-07,[0.6715147]
158,2018-06-08,[0.7776758]
159,2018-06-09,[0.71930127]
160,2018-06-10,[0.39317142]
161,2018-06-11,[0.61693609]
162,2018-06-12,[0.70735213]
163,2018-06-13,[0.56335212]
164,2018-06-14,[0.62442953]
165,2018-06-15,[0.75817107]
166,2018-06-16,[0.67974502]
167,2018-06-17,[0.39884346]
168,2018-06-18,[0.64231761]
169,2018-06-19,[0.67238801]
170,2018-06-20,[0.69340754]
171,2018-06-21,[0.72305032]
172,2018-06-22,[0.79613449]
173,2018-06-23,[0.74175017]
174,2018-06-24,[0.38139511]
175,2018-06-25,[0.74220234]
176,2018-06-26,[0.64893806]
177,2018-06-27,[0.79543624]
178,2018-06-28,[0.76498388]
179,2018-06-29,[0.95188594]
180,2018-06-30,[0.75767805]
181,2018-07-01,[0.35577972]
182,2018-07-02,[0.65457343]
183,2018-07-03,[0.73239814]
184,2018-07-04,[0.72362926]
