"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"10000","11680545"
"10002","11380600"
"10003","11380631"
"10004","11380600"
"10008","11380690"
"10009","11380690"
"100099","11230600"
"10012","11380690"
"10013","11380631"
"10014","11380631"
"10016","11530730"
"10017","11530730"
"10018","11530730"
"10019","11680545"
"10023","11530750"
"100233","11320700"
"10024","11380631"
"10025","11380631"
"10026","11380631"
"10029","11380631"
"10030","11380631"
"10031","11380631"
"10032","11380631"
"10033","11380631"
"10034","11380631"
"100342","11230610"
"10035","11380631"
"100357","11230610"
"10036","11380631"
"100368","11710632"
"10037","11380631"
"100372","11230610"
"100392","11230610"
"10040","11380631"
"100401","11110690"
"10041","11380631"
"10042","11380631"
"10043","11380631"
"10044","11380631"
"10045","11380632"
"10046","11380631"
"10047","11380631"
"100471","11230610"
"10049","11380631"
"10050","11380631"
"10051","11380631"
"10052","11380631"
"10056","11380690"
"100561","11230610"
"10057","11380690"
"10058","11380631"
"10059","11380632"
"10062","11380631"
"100658","11320512"
"100678","11710632"
"100684","11230610"
"10069","11380631"
"100693","11230610"
"10070","11530730"
"100701","11710632"
"10072","11380631"
"100721","11500611"
"10073","11380631"
"10074","11380631"
"10075","11380631"
"100750","11320512"
"10077","11380631"
"10081","11380631"
"10082","11380631"
"10083","11230660"
"100848","11320512"
"10086","11380631"
"10087","11380631"
"10088","11380631"
"10089","11380631"
"10090","11380631"
"100903","11230610"
"100938","11110690"
"10094","11380631"
"10096","11380631"
"10097","11380631"
"10098","11380631"
"101","11590550"
"10102","11380631"
"10103","11380631"
"10104","11380631"
"10105","11380631"
"10106","11380631"
"10107","11380631"
"101072","11110690"
"101073","11320512"
"10108","11380631"
"10109","11380631"
"10110","11380631"
"10111","11380631"
"10112","11380631"
"101129","11500611"
"10113","11380631"
"10114","11380631"
"10115","11380631"
"101150","11320670"
"10116","11380631"
"10118","11380631"
"101185","11320512"
"10119","11380631"
"10120","11380631"
"10121","11380631"
"10122","11380631"
"10123","11380631"
"10124","11380631"
"10125","11380631"
"10126","11380631"
"10127","11380631"
"10128","11380631"
"10129","11380631"
"10130","11380631"
"10131","11380632"
"10132","11380632"
"10140","11380631"
"101408","11230610"
"10141","11380632"
"10143","11380632"
"10144","11380632"
"10145","11380632"
"101480","11500611"
"10149","11380632"
"10150","11380632"
"10151","11380632"
"10152","11380632"
"10153","11380632"
"10154","11380632"
"10155","11380632"
"10156","11380632"
"10157","11380632"
"10159","11350570"
"101631","11470610"
"10169","11380632"
"10170","11380632"
"10171","11380632"
"10173","11380632"
"10174","11380632"
"10175","11380632"
"10176","11380632"
"10177","11380632"
"10178","11380632"
"10179","11380632"
"10180","11380632"
"10181","11380632"
"10182","11380632"
"10183","11380632"
"10184","11380632"
"10185","11380632"
"10186","11680610"
"101870","11470610"
"10188","11380632"
"10189","11380632"
"10190","11380632"
"10191","11380632"
"10192","11380632"
"10193","11380632"
"10194","11380632"
"10195","11380632"
"10196","11380690"
"10197","11380632"
"10198","11380632"
"101981","11470650"
"10199","11380632"
"10200","11380640"
"10201","11380632"
"10202","11380632"
"10203","11380632"
"102053","11320680"
"10206","11380632"
"102064","11320680"
"10207","11380632"
"10208","11380632"
"10209","11380640"
"10210","11380632"
"10211","11380632"
"102124","11470560"
"10213","11230600"
"10215","11380632"
"10216","11380632"
"10217","11380632"
"10218","11380632"
"10219","11380632"
"10220","11380632"
"102206","11470560"
"10221","11380632"
"102210","11470560"
"10223","11380632"
"10224","11380632"
"10225","11380632"
"10227","11380632"
"10228","11380632"
"10229","11380632"
"10231","11380632"
"10238","11380632"
"10239","11380632"
"10240","11380632"
"10241","11380632"
"10243","11380690"
"10244","11380632"
"10246","11380632"
"10247","11380632"
"10248","11380632"
"10249","11380632"
"10250","11380632"
"10251","11380632"
"10252","11380632"
"10253","11380632"
