"STD_YM(기준년월)","ADSTRD_CD(행정동코드)","STAT_CD(통계청상품코드)","SEX_CD(성별코드)","AGE_CD(연령대코드)","TIME_CD(시간대코드)","ACC_CNT(구매_고객수)","PURH_CNT(구매건수)","PURH_AMT(구매금액)"
"201912","11440740","C","01","01","01",999,999,9999999
"201912","11440740","A","01","01","04",999,999,9999999
"201912","11440740","A","01","01","06",999,999,9999999
"201912","11440740","A","01","02","01",999,999,9999999
"201912","11440740","B","01","02","01",999,999,9999999
"201912","11440740","L","01","02","01",999,999,9999999
"201912","11440740","A","01","02","02",999,999,9999999
"201912","11440740","B","01","02","02",999,999,9999999
"201912","11440740","A","01","02","03",999,999,9999999
"201912","11440740","B","01","02","03",999,999,9999999
"201912","11440740","E","01","02","03",999,999,9999999
"201912","11440740","G","01","02","03",999,999,9999999
"201912","11440740","L","01","02","03",999,999,9999999
"201912","11440740","A","01","02","04",999,999,9999999
"201912","11440740","B","01","02","04",999,999,9999999
"201912","11440740","E","01","02","04",999,999,9999999
"201912","11440740","L","01","02","04",999,999,9999999
"201912","11440740","A","01","02","05",999,999,9999999
"201912","11440740","B","01","02","05",999,999,9999999
"201912","11440740","E","01","02","05",999,999,9999999
"201912","11440740","F","01","02","05",999,999,9999999
"201912","11440740","G","01","02","05",999,999,9999999
"201912","11440740","J","01","02","05",999,999,9999999
"201912","11440740","L","01","02","05",999,999,9999999
"201912","11440740","A","01","02","06",999,999,9999999
"201912","11440740","B","01","02","06",999,999,9999999
"201912","11440740","E","01","02","06",999,999,9999999
"201912","11440740","A","01","03","01",999,999,9999999
"201912","11440740","B","01","03","01",999,999,9999999
"201912","11440740","A","01","03","02",999,999,9999999
"201912","11440740","B","01","03","02",999,999,9999999
"201912","11440740","E","01","03","02",999,999,9999999
"201912","11440740","L","01","03","02",999,999,9999999
"201912","11440740","A","01","03","03",999,999,9999999
"201912","11440740","B","01","03","03",999,999,9999999
"201912","11440740","E","01","03","03",999,999,9999999
"201912","11440740","I","01","03","03",999,999,9999999
"201912","11440740","J","01","03","03",999,999,9999999
"201912","11440740","L","01","03","03",999,999,9999999
"201912","11440740","A","01","03","04",999,999,9999999
"201912","11440740","B","01","03","04",999,999,9999999
"201912","11440740","C","01","03","04",999,999,9999999
"201912","11440740","E","01","03","04",999,999,9999999
"201912","11440740","F","01","03","04",999,999,9999999
"201912","11440740","G","01","03","04",999,999,9999999
"201912","11440740","I","01","03","04",999,999,9999999
"201912","11440740","J","01","03","04",999,999,9999999
"201912","11440740","L","01","03","04",999,999,9999999
"201912","11440740","A","01","03","05",999,999,9999999
