"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2018. 01","계","계",26213,1020,3.7,59.5
"2018. 01","계","20 - 29세",3655,342,8.6,57.3
"2018. 01","계","30 - 39세",5626,177,3.1,75.7
"2018. 01","계","40 - 49세",6705,153,2.2,79.0
"2018. 01","계","50 - 59세",6267,139,2.2,74.5
"2018. 01","계","60세이상",3727,180,4.6,35.4
"2018. 01","남자","계",15179,582,3.7,70.1
"2018. 01","남자","20 - 29세",1771,175,9.0,56.2
"2018. 01","남자","30 - 39세",3469,107,3.0,90.3
"2018. 01","남자","40 - 49세",3948,84,2.1,91.9
"2018. 01","남자","50 - 59세",3640,93,2.5,86.6
"2018. 01","남자","60세이상",2244,107,4.6,47.7
"2018. 01","여자","계",11034,438,3.8,49.2
"2018. 01","여자","20 - 29세",1884,167,8.1,58.3
"2018. 01","여자","30 - 39세",2157,70,3.1,60.1
"2018. 01","여자","40 - 49세",2757,69,2.4,65.7
"2018. 01","여자","50 - 59세",2627,46,1.7,62.5
"2018. 01","여자","60세이상",1482,73,4.7,25.4
"2018. 02","계","계",26083,1265,4.6,59.2
"2018. 02","계","20 - 29세",3654,390,9.6,57.2
"2018. 02","계","30 - 39세",5596,182,3.2,75.4
"2018. 02","계","40 - 49세",6658,178,2.6,78.5
"2018. 02","계","50 - 59세",6213,162,2.5,73.9
"2018. 02","계","60세이상",3730,322,8.0,35.3
"2018. 02","남자","계",15101,684,4.3,69.7
"2018. 02","남자","20 - 29세",1769,192,9.8,56.1
"2018. 02","남자","30 - 39세",3452,109,3.1,90.0
"2018. 02","남자","40 - 49세",3933,101,2.5,91.6
"2018. 02","남자","50 - 59세",3601,108,2.9,85.6
"2018. 02","남자","60세이상",2243,158,6.6,47.5
"2018. 02","여자","계",10982,582,5.0,48.9
"2018. 02","여자","20 - 29세",1884,198,9.5,58.3
"2018. 02","여자","30 - 39세",2144,73,3.3,59.8
"2018. 02","여자","40 - 49세",2725,77,2.7,65.1
"2018. 02","여자","50 - 59세",2612,55,2.0,62.1
"2018. 02","여자","60세이상",1487,164,9.9,25.4
"2018. 03","계","계",26555,1257,4.5,60.2
"2018. 03","계","20 - 29세",3644,479,11.6,57.2
"2018. 03","계","30 - 39세",5597,214,3.7,75.5
"2018. 03","계","40 - 49세",6664,190,2.8,78.6
"2018. 03","계","50 - 59세",6271,182,2.8,74.5
"2018. 03","계","60세이상",4165,164,3.8,39.2
"2018. 03","남자","계",15262,742,4.6,70.5
