"시점",계,남자,여자
"2019. 01",1114,796,318
"2019. 02",971,694,277
"2019. 03",1182,871,311
"2019. 04",1131,831,300
"2019. 05",1274,919,355
"2019. 06",1108,783,325
"2019. 07",1248,874,374
"2019. 08",1152,824,328
"2019. 09",1093,796,297
"2019. 10",1248,820,428
"2019. 11",1098,713,385
"2019. 12",1180,809,371
"2020. 01 p)",1084,768,316
"2020. 02 p)",977,701,276
"2020. 03 p)",1131,771,360
"2020. 04 p)",1118,758,360
"2020. 05 p)",1138,785,353
"2020. 06 p)",1128,757,371
"2020. 07 p)",1211,837,374
"2020. 08 p)",1160,794,366
"2020. 09 p)",1011,679,332
"2020. 10 p)",1113,772,341
"2020. 11 p)",1043,702,341
"2020. 12 p)",904,643,261
"2021. 01 p)",941,612,329
"2021. 02 p)",952,642,310
"2021. 03 p)",1248,887,361
"2021. 04 p)",1148,795,353
"2021. 05 p)",1103,761,342
